Date,Price,Open,High,Low,Chg%
11-01,1422.6,1415.6,1423.9,1413.7,0.0011
11-02,1339.6,1333.1,1342.9,1325.3,0.0043
11-03,1430.7,1415.3,1434.4,1415.3,0.0152
4月-11,1428.1,1433.4,1436.5,1413,-0.0075
5月-11,1556.7,1572.9,1576.6,1543.1,0.0004
6月-11,1542.4,1535.7,1550.6,1529.7,0.0042
7月-11,1482.3,1502.2,1502.2,1480,-0.0133
8月-11,1619,1623,1631.8,1607,-0.0057
9月-11,1826,1825.8,1829.5,1814.1,-0.0014
10月-11,1656,1627.8,1660.8,1627.6,0.022
11月-11,1711,1706.7,1720.1,1682.5,-0.0077
12月-11,1735.3,1747,1753.3,1734.5,-0.0058
1月-12,1599.7,1568.9,1604.3,1566,0.0217
2月-12,1747.1,1738.2,1751.1,1734,0.0054
3月-12,1721.1,1698.6,1724.6,1698.6,0.0066
4月-12,1677.5,1670.4,1682.8,1662,0.0049
5月-12,1661.7,1665,1670.5,1661.7,-0.001
6月-12,1620.5,1560,1630,1545.5,0.0371
7月-12,1597.2,1597.1,1598.3,1589.7,-0.0039
8月-12,1603.7,1613.4,1617.6,1592,-0.0042
9月-12,1692.9,1689.1,1698,1687.7,0.0049
10月-12,1780.5,1766,1791,1763.3,0.0053
11月-12,1714.1,1722.3,1725.1,1714.9,-0.002
12月-12,1719.6,1714.9,1721.9,1714.5,0.0051
1月-13,1687.9,1672.8,1693.8,1670,0.0078
2月-13,1669.4,1663.9,1681.2,1659.9,0.0053
3月-13,1571.9,1579.6,1585.6,1566,-0.0037
4月-13,1600,1596.8,1600.5,1594.8,0.0033
5月-13,1446.3,1475.8,1477.1,1440,-0.0176
6月-13,1411.7,1389.1,1416.3,1388.3,0.0137
7月-13,1255.9,1234.7,1261,1234.2,0.0262
8月-13,1311,1323,1328.5,1306.9,-0.0011
9月-13,1393.7,1380.4,1398,1379.6,-0.0017
10月-13,1286,1328,1334.2,1283.8,-0.0305
11月-13,1313.1,1325.7,1325.7,1308,-0.0079
12月-13,1222.3,1251.4,1251.5,1217.8,-0.0226
1月-14,1205.4,1203.6,1205.4,1202.8,0.0029
2月-14,1260.4,1242.4,1266.3,1241.2,0.0164
3月-14,1350.1,1335.9,1354.1,1332.9,0.0217
4月-14,1279.6,1285.1,1287.9,1277.3,-0.003
5月-14,1283.1,1288.7,1288.7,1278,-0.0096
6月-14,1243.7,1250,1250.7,1240.9,-0.0015
7月-14,1480.2,1326.7,1331.4,1326.2,0.0035
8月-14,1451.1,1284.1,1296.6,1279.7,0.0067
9月-14,1287.4,1287.6,1290.9,1285.9,-0.0002
10月-14,1370.2,1207.7,1217.8,1205.5,0.0026
11月-14,1294.4,1166.4,1172.3,1163.1,-0.0012
12月-14,1332.5,1160,1220.4,1141.7,0.032
1月-15,1186.8,1184.1,1187.5,1184.1,-0.1113
2月-15,1382.4,1382.4,1382.4,1382.4,-0.0016
3月-15,1305.8,1305.8,1305.8,1305.8,-0.0027
4月-15,1294.2,1294.2,1294.2,1294.2,0.0173
5月-15,1266.1,1266.1,1266.1,1266.1,-0.0054
6月-15,1280.4,1280.4,1280.4,1280.4,-0.0002
7月-15,1268.5,1268.5,1268.5,1268,-0.0018
8月-15,1176.8,1176.8,1176.8,1176.8,-0.0053
9月-15,1221.3,1221.3,1221.3,1221.3,0.0036
10月-15,1182.1,1182.1,1182.1,1182.1,-0.0013
11月-15,1190.4,1190.4,1190.4,1190.4,-0.004
12月-15,1122,1122,1122,1122,-0.0017
1月-16,1135.5,1135.5,1135.5,1135.5,0.0129
2月-16,1173.5,1173.5,1173.5,1173.5,0.01
3月-16,1271.2,1271.2,1271.2,1271.2,-0.0016
4月-16,1268.9,1268.9,1268.9,1268.9,-0.0094
5月-16,1347.3,1347.3,1347.3,1347.3,0.0044
6月-16,1267.2,1267.2,1267.2,1267.2,-0.0017
7月-16,1394.3,1394.3,1394.3,1394.3,0.014
8月-16,1416.2,1416.2,1416.2,1416.2,0.0004
9月-16,1372.6,1372.6,1372.6,1372.6,0.0034
10月-16,1365.9,1365.9,1365.9,1365.9,-0.0033
11月-16,1348,1348,1348,1348,0.0107
12月-16,1233.7,1233.7,1233.7,1233.7,-0.0038
1月-17,1151.05,1151,1153.25,1150,-0.0676
2月-17,1289.5,1289,1291,1289,-0.0018
3月-17,1331.1,1331.1,1331.1,1331.1,-0.0024
4月-17,1332.7,1332.7,1332.7,1332.7,0.0022
5月-17,1334.6,1334.6,1334.6,1334.6,-0.0093
6月-17,1343.2,1343.2,1343.2,1343.2,-0.0039
7月-17,1290.9,1289.9,1289.9,1289,-0.0176
8月-17,1346.3,1346.3,1346.3,1346.3,0.0042
9月-17,1397.1,1397.1,1397.1,1397.1,0.0062
10月-17,1350.1,1350.1,1350.1,1350.1,-0.0055
11月-17,1354.6,1354.6,1354.6,1354.6,0.0051
12月-17,1362.8,1362.8,1362.8,1362.8,0.0041
1月-18,1308.7,1305.8,1309.7,1304.6,-0.0598
2月-18,1445.1,1445.1,1445.1,1445.1,0.004
3月-18,1406,1406,1406,1406,-0.0093
4月-18,1445.8,1445.8,1445.8,1445.8,0.0139
5月-18,1406.4,1406.4,1406.4,1406.4,-0.0089
6月-18,1390.1,1392.4,1392.4,1392.4,-0.0035
7月-18,1329.7,1329.7,1329.7,1329.7,-0.0104
8月-18,1304,1304,1304,1304,-0.0044
9月-18,1204.9,1206.2,1206.6,1204.5,-0.057
10月-18,1264.4,1264.4,1264.4,1264.4,-0.0034
11月-18,1312.2,1312.2,1312.2,1312.2,0.0186
12月-18,1306.4,1306.4,1306.4,1306.4,0.0106
1月-19,1283.35,1284.7,1284.75,1282.85,-0.0473
2月-19,1381.1,1382.6,1382.6,1382.6,-0.0021
3月-19,1358.3,1358.3,1358.3,1358.3,-0.0124
4月-19,1342.7,1342.7,1342.7,1342.7,-0.0025
5月-19,1334.2,1334.2,1334.2,1334.2,-0.0011
6月-19,1365.3,1356.5,1356.5,1356.5,0.0116
7月-19,1423.6,1444,1444,1424.4,-0.016
8月-19,1461.5,1450.8,1485.6,1443.3,-0.0033
9月-19,1538.05,1535.25,1542.9,1535.25,-0.0123
10月-19,1518,1502.6,1520,1499,0.0105
11月-19,1541.3,1542.1,1545,1538,-0.0017
12月-19,1493.1,1494,1495.3,1485,-0.0023
1月-20,1520.95,1520.85,1523.95,1520.85,-0.0191
2月-20,1604,1618.8,1619.6,1595,-0.0034
3月-20,1609.7,1609.1,1626,1593.9,0.0165
4月-20,1592.5,1580,1611,1577.7,-0.0032
5月-20,1712,1705.7,1723.1,1688,0.0042
6月-20,1763.7,1763.1,1774.5,1751.6,-0.0011
7月-20,1801.9,1817.5,1827.1,1789.8,-0.0102
8月-20,1986.3,1997.4,2009.5,1975.2,0.0002
9月-20,1978.9,1973.7,2001.2,1969.2,0.0002
