Date/Time,WindSpeed,Theoretical_Power_Curve,ActivePower,Wind Direction
01 01 2018 00:00,5.31133604,416.3289078,380.0477905,259.9949036
01 01 2018 00:10,5.672166824,519.9175111,453.7691956,268.6411133
01 01 2018 00:20,5.216036797,390.9000158,306.3765869,272.5647888
01 01 2018 00:30,5.659674168,516.127569,419.6459045,271.2580872
01 01 2018 00:40,5.577940941,491.702972,380.6506958,265.6742859
01 01 2018 00:50,5.604052067,499.436385,402.3919983,264.5786133
01 01 2018 01:00,5.793007851,557.3723633,447.6057129,266.1636047
01 01 2018 01:10,5.306049824,414.8981788,387.2421875,257.9494934
01 01 2018 01:20,5.584629059,493.6776521,463.6512146,253.4806976
01 01 2018 01:30,5.523228168,475.7067828,439.725708,258.7237854
01 01 2018 01:40,5.724115849,535.841397,498.1817017,251.8509979
01 01 2018 01:50,5.934198856,603.0140765,526.8162231,265.5046997
01 01 2018 02:00,6.547413826,824.6625136,710.5872803,274.2329102
01 01 2018 02:10,6.199746132,693.4726411,655.1942749,266.7331848
01 01 2018 02:20,6.505383015,808.0981385,754.7625122,266.7604065
01 01 2018 02:30,6.634116173,859.4590208,790.1732788,270.4931946
01 01 2018 02:40,6.378912926,759.4345366,742.9852905,266.5932922
01 01 2018 02:50,6.446652889,785.2810099,748.2296143,265.5718079
01 01 2018 03:00,6.415082932,773.1728635,736.6478271,261.1586914
01 01 2018 03:10,6.437530994,781.7712157,787.2462158,257.5602112
01 01 2018 03:20,6.220024109,700.7646999,722.8640747,255.9264984
01 01 2018 03:30,6.89802599,970.7366269,935.0333862,250.0128937
01 01 2018 03:40,7.60971117,1315.048928,1220.609009,255.9857025
01 01 2018 03:50,7.288355827,1151.265744,1053.771973,255.4445953
01 01 2018 04:00,7.943101883,1497.583724,1493.807983,256.4074097
01 01 2018 04:10,8.376161575,1752.199662,1724.488037,252.4125977
01 01 2018 04:20,8.23695755,1668.470707,1636.935059,247.9794006
01 01 2018 04:30,7.879590988,1461.815791,1385.488037,238.6096039
01 01 2018 04:40,7.101376057,1062.285034,1098.932007,245.0955963
01 01 2018 04:50,6.955307007,995.9958546,1021.458008,245.410202
01 01 2018 05:00,7.098298073,1060.859712,1164.892944,235.2279053
01 01 2018 05:10,6.953630924,995.2509608,1073.332031,242.8726959
01 01 2018 05:20,7.249577999,1132.416861,1165.307983,244.8356934
01 01 2018 05:30,7.294691086,1154.365305,1177.98999,242.4815979
01 01 2018 05:40,7.376369953,1194.843099,1170.536011,247.9772034
01 01 2018 05:50,7.448554039,1231.430706,1145.536011,249.6829987
01 01 2018 06:00,7.23925209,1127.433206,1114.026978,248.401001
01 01 2018 06:10,7.329211235,1171.355044,1153.185059,244.6217041
01 01 2018 06:20,7.139705181,1080.139085,1125.331055,244.6318054
01 01 2018 06:30,7.474228859,1244.633534,1228.732056,245.7859955
01 01 2018 06:40,7.033174038,1030.992686,1021.79303,248.6522064
01 01 2018 06:50,6.886455059,965.6833344,957.3781738,244.6116943
01 01 2018 07:00,6.887821198,966.2791049,909.8878174,235.8482971
01 01 2018 07:10,7.216432095,1116.471899,1000.953979,232.8426971
01 01 2018 07:20,7.068597794,1047.170231,1024.478027,229.933197
01 01 2018 07:30,6.938295841,988.4519407,1009.533997,230.1367035
01 01 2018 07:40,6.536687851,820.4166586,899.492981,234.9338074
01 01 2018 07:50,6.180624962,686.6369422,725.1101074,232.8379059
01 01 2018 08:00,5.816825867,564.9276595,585.2593994,240.3287964
01 01 2018 08:10,5.450150967,454.7735871,443.9139099,238.126297
01 01 2018 08:20,5.81814909,565.3490932,565.2537842,235.800293
01 01 2018 08:30,6.130272865,668.8235693,644.0377808,224.9586945
01 01 2018 08:40,6.347077847,747.4606734,712.0588989,216.803894
01 01 2018 08:50,6.347436905,747.5951091,737.3947754,205.7852936
01 01 2018 09:00,6.194368839,691.5463343,725.868103,199.8484955
01 01 2018 09:10,4.977198124,330.4176304,408.997406,207.9978027
01 01 2018 09:20,5.959111214,611.2838365,628.4368286,210.954895
01 01 2018 09:30,6.21137619,697.6494744,716.1005859,215.6940002
01 01 2018 09:40,6.111453056,662.235163,711.4956055,220.8426056
01 01 2018 09:50,6.456322193,789.0114224,838.1519165,237.0653076
01 01 2018 10:00,6.666657925,872.7396259,881.0620728,235.6674957
01 01 2018 10:10,6.16287899,680.3278917,663.703125,229.3296967
01 01 2018 10:20,6.013167858,628.4425608,578.2615967,234.9006042
01 01 2018 10:30,5.561203003,486.7795676,465.6200867,230.4228058
01 01 2018 10:40,4.960731983,326.4110254,311.0509033,229.5375061
01 01 2018 10:50,4.60387516,244.3162442,230.0554962,231.7984924
01 01 2018 11:00,4.554533958,233.6327805,233.9906006,234.1056061
01 01 2018 11:10,4.26362896,173.5736631,175.5921936,228.7767029
01 01 2018 11:20,3.894139051,108.5712211,118.1331024,227.9389954
01 01 2018 11:30,4.038761139,130.2299896,142.2024994,224.4649963
01 01 2018 11:40,4.505650997,223.1967841,212.5661926,224.9505005
01 01 2018 11:50,4.543397903,231.2425073,222.6100006,229.127594
01 01 2018 12:00,4.323760986,185.5984796,194.1811981,227.0399933
01 01 2018 12:10,3.634437084,68.5028198,82.64074707,230.3146057
01 01 2018 12:20,3.705512047,78.39616535,75.8952179,233.9532928
01 01 2018 12:30,3.253968,29.28695563,41.94723892,233.0659027
01 01 2018 12:40,3.775136948,88.87136533,118.5345993,227.7534943
01 01 2018 12:50,4.693500996,264.1192574,250.7559052,229.8966064
01 01 2018 13:00,5.002939224,336.7219982,346.8644104,235.2794952
01 01 2018 13:10,5.364749908,430.921089,416.4179077,235.5852966
01 01 2018 13:20,5.016181946,339.9849402,331.9414978,229.9429016
01 01 2018 13:30,5.970407963,615.0556308,583.4799194,235.6952972
01 01 2018 13:40,6.655520916,868.1808449,776.5526733,241.4573975
01 01 2018 13:50,6.600903988,846.0294095,752.7263794,242.7821045
01 01 2018 14:00,5.981378078,618.7314427,589.0731201,234.9844055
01 01 2018 14:10,7.424593925,1219.199787,1109.128052,235.1472931
01 01 2018 14:20,8.186451912,1638.508909,1482.459961,238.4790955
01 01 2018 14:30,8.27493,1691.147039,1523.430054,237.0332031
01 01 2018 14:40,8.449202538,1796.76309,1572.170044,238.3323975
01 01 2018 14:50,8.575974464,1875.047197,1698.939941,235.6414032
01 01 2018 15:00,8.282259941,1695.538777,1616.845947,236.4613953
01 01 2018 15:10,8.734552383,1974.4758,1796.823975,234.3547974
